outlet,n_articles,mean_distance,ci_low,ci_high,em_consensus_agreement
carolinajournal.com,1,0.863704,0.863704,0.863704,0.500000
statehousenews.com,3,0.863745,0.858260,0.871422,0.500000
legis1.com,1,0.867464,0.867464,0.867464,0.500000
wsfa.com,1,0.870270,0.870270,0.870270,0.500000
houstonchronicle.com,2,0.870424,0.015445,0.881219,0.500000
thenation.com,1,0.871799,0.871799,0.871799,0.500000
wowt.com,3,0.874727,0.815633,0.904274,0.500000
wric.com,1,0.875076,0.875076,0.875076,0.500000
pressherald.com,3,0.875351,0.873772,0.876929,0.500000
wcax.com,3,0.877511,0.877511,0.877511,0.500000
dailypress.com,1,0.878775,0.878775,0.878775,0.500000
pilotonline.com,1,0.878775,0.878775,0.878775,0.500000
gazettextra.com,5,0.879907,0.842591,0.889180,0.500000
journal-news.com,7,0.884446,0.875480,0.888108,0.500000
fox5atlanta.com,2,0.885375,0.505560,0.897844,0.500000
michiganpublic.org,1,0.891955,0.891955,0.891955,0.500000
theglobeandmail.com,2,0.894264,0.456716,0.901998,0.500000
pasenate.com,2,0.911810,0.911722,0.911897,0.500000
dailypress.senate.gov,2,0.939306,0.938159,0.940453,0.500000
