mode,multiplicity,seed,dedup,rho,wire_reliability_est
perturbed,5,0,False,1.000000,0.390534
perturbed,5,0,True,1.000000,0.365514
perturbed,5,1,False,0.700000,0.484103
perturbed,5,1,True,0.700000,0.472796
perturbed,5,2,False,1.000000,0.401302
perturbed,5,2,True,1.000000,0.358718
perturbed,5,3,False,1.000000,0.307063
perturbed,5,3,True,1.000000,0.282273
perturbed,5,4,False,0.300000,0.464496
perturbed,5,4,True,0.300000,0.465593
perturbed,5,5,False,0.900000,0.468496
perturbed,5,5,True,0.900000,0.485804
perturbed,5,6,False,0.700000,0.432047
perturbed,5,6,True,0.700000,0.373627
perturbed,5,7,False,0.900000,0.490891
perturbed,5,7,True,0.900000,0.495725
perturbed,5,8,False,0.700000,0.324015
perturbed,5,8,True,0.700000,0.320341
perturbed,5,9,False,0.700000,0.376944
perturbed,5,9,True,0.700000,0.379570
perturbed,10,0,False,1.000000,0.510994
perturbed,10,0,True,1.000000,0.474135
perturbed,10,1,False,0.200000,0.599200
perturbed,10,1,True,0.500000,0.577245
perturbed,10,2,False,0.700000,0.507233
perturbed,10,2,True,0.700000,0.476330
perturbed,10,3,False,0.900000,0.491611
perturbed,10,3,True,0.900000,0.432015
perturbed,10,4,False,-0.900000,0.656116
perturbed,10,4,True,-0.300000,0.594466
perturbed,10,5,False,-0.500000,0.600926
perturbed,10,5,True,0.200000,0.576278
perturbed,10,6,False,0.400000,0.558073
perturbed,10,6,True,0.400000,0.543192
perturbed,10,7,False,0.700000,0.630683
perturbed,10,7,True,0.900000,0.591295
perturbed,10,8,False,0.700000,0.438818
perturbed,10,8,True,0.700000,0.419812
perturbed,10,9,False,-0.100000,0.553311
perturbed,10,9,True,0.100000,0.539326
perturbed,20,0,False,-0.900000,0.733262
perturbed,20,0,True,-1.000000,0.663990
perturbed,20,1,False,-0.800000,0.765034
perturbed,20,1,True,-0.600000,0.705167
perturbed,20,2,False,-0.700000,0.687937
perturbed,20,2,True,-0.700000,0.717667
perturbed,20,3,False,-0.700000,0.796863
perturbed,20,3,True,-0.700000,0.679695
perturbed,20,4,False,-0.900000,0.842649
perturbed,20,4,True,-0.900000,0.802806
perturbed,20,5,False,-1.000000,0.779562
perturbed,20,5,True,-1.000000,0.705758
perturbed,20,6,False,-1.000000,0.777336
perturbed,20,6,True,-0.700000,0.710124
perturbed,20,7,False,-1.000000,0.847571
perturbed,20,7,True,-0.900000,0.808320
perturbed,20,8,False,-0.800000,0.684279
perturbed,20,8,True,0.500000,0.576585
perturbed,20,9,False,-0.900000,0.801182
perturbed,20,9,True,-0.900000,0.694881
