outlet,category,events_in_category,events_covered,coverage_rate,omission_score,em_sensitivity,em_reliability
techtimes.com,uci_e,2068,41,0.019826,0.980174,0.954865,0.728127
techtimes.com,uci_m,1320,310,0.234848,0.765152,0.954865,0.728127
techtimes.com,uci_t,1779,615,0.345700,0.654300,0.954865,0.728127
telegraph.co.uk,uci_b,1999,305,0.152576,0.847424,0.976961,0.970835
telegraph.co.uk,uci_e,2068,273,0.132012,0.867988,0.976961,0.970835
telegraph.co.uk,uci_m,1320,100,0.075758,0.924242,0.976961,0.970835
telegraph.co.uk,uci_t,1779,263,0.147836,0.852164,0.976961,0.970835
thecelebritycafe.com,uci_b,1999,61,0.030515,0.969485,0.961855,0.948807
thecelebritycafe.com,uci_e,2068,1051,0.508221,0.491779,0.961855,0.948807
thecelebritycafe.com,uci_m,1320,113,0.085606,0.914394,0.961855,0.948807
thecelebritycafe.com,uci_t,1779,112,0.062957,0.937043,0.961855,0.948807
theguardian.com,uci_b,1999,283,0.141571,0.858429,0.964827,0.973066
theguardian.com,uci_e,2068,395,0.191006,0.808994,0.964827,0.973066
theguardian.com,uci_m,1320,102,0.077273,0.922727,0.964827,0.973066
theguardian.com,uci_t,1779,257,0.144463,0.855537,0.964827,0.973066
time.com,uci_b,1999,221,0.110555,0.889445,0.955865,0.845699
time.com,uci_e,2068,478,0.231141,0.768859,0.955865,0.845699
time.com,uci_m,1320,177,0.134091,0.865909,0.955865,0.845699
time.com,uci_t,1779,374,0.210230,0.789770,0.955865,0.845699
timesofindia.indiatimes.com,uci_b,1999,199,0.099550,0.900450,0.968279,0.887636
timesofindia.indiatimes.com,uci_e,2068,313,0.151354,0.848646,0.968279,0.887636
timesofindia.indiatimes.com,uci_m,1320,136,0.103030,0.896970,0.968279,0.887636
timesofindia.indiatimes.com,uci_t,1779,372,0.209106,0.790894,0.968279,0.887636
washingtonpost.com,uci_b,1999,315,0.157579,0.842421,0.951170,0.902863
washingtonpost.com,uci_e,2068,437,0.211315,0.788685,0.951170,0.902863
washingtonpost.com,uci_m,1320,149,0.112879,0.887121,0.951170,0.902863
washingtonpost.com,uci_t,1779,322,0.181001,0.818999,0.951170,0.902863
wetpaint.com,uci_b,1999,1,0.000500,0.999500,0.964928,0.731957
wetpaint.com,uci_e,2068,536,0.259188,0.740812,0.964928,0.731957
wetpaint.com,uci_m,1320,5,0.003788,0.996212,0.964928,0.731957
wetpaint.com,uci_t,1779,2,0.001124,0.998876,0.964928,0.731957
